n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2
0.00,0.00,1.94,0.00,0.00,1.00,0.50,0.00,0.17,0.00,0.00,0.48,0.00,0.00,0.00,0.08,0.02,0.54,0.25,0.20,0.30,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.00,0.16,0.00,0.24,0.51
0.00,0.00,1.97,0.00,0.00,0.99,0.37,0.28,0.00,0.01,0.31,0.42,0.01,0.00,0.00,0.00,0.14,0.40,0.00,0.20,0.15,0.00,0.37,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.30,0.00,0.38,0.59
0.00,0.10,2.04,0.00,0.00,0.90,0.21,0.20,0.00,0.00,0.53,0.16,0.00,0.00,0.00,0.00,0.44,0.00,0.22,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.12,0.00,0.30,0.00,0.31,0.00,0.20,0.65
0.00,0.13,2.04,0.00,0.00,0.00,0.37,0.00,0.00,0.13,0.41,0.00,0.00,0.29,0.00,0.47,0.42,0.00,0.00,0.60,0.25,0.00,0.03,0.00,0.00,0.00,0.34,0.00,0.05,0.01,0.24,0.37,0.13,0.00,0.00,0.63
0.00,0.00,1.95,0.00,0.05,0.00,0.47,0.12,0.00,0.45,0.39,0.09,0.04,0.16,0.00,0.39,0.49,0.18,0.00,0.20,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.63
0.00,0.00,1.89,0.10,0.30,0.00,0.35,0.67,0.00,0.63,0.71,0.00,0.44,0.15,0.39,0.17,0.21,0.17,0.00,0.00,0.11,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.09,0.00,0.33,0.22,0.00,0.00,0.00,0.71
0.00,0.00,1.83,0.00,0.27,0.00,0.16,0.50,0.00,0.52,0.25,0.00,0.58,0.39,0.50,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.12,0.02,0.28,0.00,0.00,0.00,0.02,0.00,0.25,0.32,0.00,0.00,0.00,0.74
0.34,0.03,1.85,0.00,0.21,0.10,0.83,0.00,0.00,0.00,0.00,0.09,0.42,0.00,0.14,0.00,0.31,0.20,0.00,0.16,0.45,0.00,0.19,0.05,0.17,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.10,0.00,0.59,0.72
0.08,0.06,1.88,0.15,0.68,0.44,0.89,0.00,0.00,0.00,0.00,0.06,0.65,0.00,0.00,0.30,0.00,0.37,0.00,0.00,0.64,0.00,0.02,0.00,0.00,0.00,0.22,0.00,0.02,0.00,0.03,0.23,0.00,0.01,0.66,0.73
0.00,0.00,1.82,0.00,1.08,0.27,0.55,0.00,0.45,0.03,0.00,0.00,0.65,0.22,0.06,0.80,0.00,0.24,0.00,0.03,0.71,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.20,0.00,0.31,0.61,0.00,0.00,0.30,0.74
0.00,0.00,1.77,0.00,0.92,0.00,0.00,0.13,0.39,0.32,0.00,0.06,0.21,0.14,0.00,0.97,0.04,0.00,0.28,0.18,0.62,0.00,0.00,0.00,0.00,0.02,0.20,0.00,0.21,0.00,0.58,0.87,0.53,0.00,0.22,0.78
0.00,0.54,1.78,0.37,0.56,0.00,0.00,0.13,0.21,0.54,0.00,0.00,0.00,0.00,0.00,1.07,0.35,0.00,0.42,0.00,0.54,0.00,0.12,0.00,0.00,0.64,0.00,0.00,0.47,0.00,0.64,0.94,0.59,0.00,0.63,0.78
0.00,0.71,1.62,0.35,0.00,0.00,0.00,0.46,0.35,0.64,0.00,0.00,0.00,0.07,0.00,0.98,0.00,0.00,0.28,0.00,0.69,0.14,0.00,0.00,0.00,0.35,0.00,0.00,0.55,0.00,0.52,0.93,0.74,0.00,0.62,0.64
0.00,0.72,1.61,0.00,0.00,0.00,0.34,0.41,0.07,0.48,0.07,0.00,0.14,0.37,0.00,0.55,0.00,0.00,0.00,0.00,0.74,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.78,0.74,0.00,0.30,0.00
0.00,0.00,1.60,0.00,0.00,0.00,0.58,0.00,0.00,0.03,0.09,0.16,0.37,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.27,0.00,0.00,0.02,0.49,0.00,0.00,0.45
0.00,0.00,1.59,0.00,0.43,0.18,0.53,0.30,0.00,0.60,0.05,0.06,0.32,0.00,0.00,0.78,0.25,0.00,0.00,0.00,0.64,0.00,0.00,0.14,0.00,0.00,0.16,0.00,0.00,0.23,0.31,0.74,0.38,0.00,0.09,0.26
0.00,0.35,1.57,0.00,0.24,0.36,0.72,0.22,0.00,1.03,0.00,0.00,0.04,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.44,0.30,0.62,0.12,0.00,0.55,0.03
0.00,0.06,1.55,0.00,0.00,0.04,0.66,0.07,0.00,1.16,0.38,0.16,0.00,0.00,0.00,0.80,0.00,0.00,0.29,0.00,0.37,0.00,0.00,0.10,0.12,0.00,0.00,0.00,0.11,0.70,0.00,0.02,0.00,0.00,0.64,0.05
0.00,0.00,1.54,0.00,0.05,0.00,0.00,0.30,0.00,1.01,0.43,0.01,0.00,0.00,0.14,0.50,0.00,0.18,0.17,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.65,0.00,0.00,1.03,0.16,0.00,0.00,0.00,0.80,0.00
0.00,0.00,1.53,0.36,0.20,0.00,0.34,0.00,0.03,0.77,0.20,0.00,0.12,0.00,0.30,0.00,0.00,0.11,0.00,0.00,0.00,0.29,0.00,0.24,0.00,0.00,0.46,0.33,0.00,0.97,0.04,0.05,0.00,0.00,1.14,0.00
0.00,0.39,1.48,0.30,0.00,0.00,1.06,0.20,0.71,0.00,0.14,0.00,0.00,0.15,0.35,0.26,0.20,0.00,0.00,0.00,0.00,0.48,0.00,0.36,0.00,0.00,0.12,0.12,0.26,0.96,0.00,0.01,0.00,0.00,1.26,0.09
0.07,0.12,1.45,0.00,0.00,0.34,1.47,0.22,0.70,0.00,0.16,0.00,0.00,0.00,0.27,0.04,0.00,0.00,0.18,0.00,0.00,0.70,0.39,0.10,0.00,0.21,0.00,0.09,0.00,1.00,0.00,0.26,0.00,0.13,1.12,0.00
0.08,0.00,1.52,0.00,0.00,0.23,1.50,0.00,0.26,0.00,0.16,0.03,0.00,0.00,0.16,0.44,0.00,0.00,0.40,0.00,0.00,0.73,0.76,0.05,0.00,0.00,0.00,0.48,0.00,0.79,0.00,0.37,0.04,0.00,0.81,0.00
0.00,0.00,1.61,0.00,0.00,0.08,1.33,0.00,0.00,0.00,0.31,0.17,0.09,0.00,0.18,0.34,0.00,0.00,0.33,0.22,0.00,0.68,1.03,0.20,0.00,0.00,0.24,0.22,0.06,0.59,0.00,0.00,0.00,0.00,0.00,0.37
0.00,0.35,1.66,0.00,0.11,0.00,1.17,0.00,0.19,0.11,0.10,0.40,0.00,0.16,0.00,0.00,0.00,0.37,0.05,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.25,0.00,0.00,0.72,0.07,0.00,0.00,0.00,0.30,0.43
0.05,0.09,1.74,0.32,0.03,0.00,1.05,0.35,0.25,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.88,0.16,0.00,0.00,0.26,0.00,0.00,0.84,0.00,0.00,0.32,0.00,0.19,0.45
0.01,0.00,1.84,0.00,0.00,0.00,0.98,0.48,0.36,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.41,0.00,0.33,0.05,0.09,0.00,0.00,0.71,0.00,0.00,0.21,0.00,0.00,0.50
0.08,0.04,1.85,0.00,0.75,0.00,0.88,0.75,0.41,0.23,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.23,0.51,0.00,0.25,0.08,0.00,0.22,0.33,0.52,0.01,0.00,0.00,0.00,0.00,0.48
0.30,0.00,1.42,0.00,0.52,0.00,0.00,0.80,0.16,0.10,0.00,0.34,0.00,0.00,0.05,0.00,0.31,0.00,0.00,0.14,0.00,0.23,0.59,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08,0.34,0.00,0.43
0.01,0.00,1.46,0.00,0.00,0.00,0.23,0.89,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.18,0.32,0.00,0.00,0.04,0.00,0.00,0.00,0.37,0.00,0.45,0.38,0.36,0.00,0.40
0.19,0.15,1.49,0.00,0.49,0.00,0.00,0.49,0.34,0.00,0.00,0.27,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.64,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.19,0.18,0.58,0.66,0.35,0.00,0.29,0.00
0.16,0.47,1.53,0.07,0.70,0.20,0.00,0.64,0.40,0.00,0.00,0.46,0.00,0.00,0.00,0.27,0.23,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.62,0.64,0.12,0.29,0.09,0.00
0.00,0.56,1.53,0.28,0.64,0.26,0.00,0.71,0.54,0.00,0.00,0.72,0.41,0.00,0.00,0.00,0.76,0.25,0.00,0.79,0.00,0.59,0.00,0.00,0.08,0.00,0.00,0.00,0.62,0.00,0.63,0.00,0.00,0.36,0.00,0.10
0.00,0.36,1.51,0.31,0.21,0.28,0.00,0.40,0.39,0.25,0.00,0.52,0.34,0.00,0.14,0.00,0.94,0.09,0.70,0.64,0.00,0.32,0.00,0.00,0.13,0.00,0.00,0.00,0.92,0.00,0.61,0.00,0.00,0.00,0.00,0.28
0.56,0.61,1.63,0.30,0.35,0.86,0.00,0.55,0.21,0.62,0.00,0.30,0.17,0.00,0.26,0.00,0.55,0.00,0.87,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.49,0.00,0.00,0.00,0.46,0.30
0.55,0.65,1.80,0.31,0.28,1.01,0.06,0.52,0.00,0.44,0.35,0.21,0.21,0.00,0.37,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.38,1.21,0.00,0.00,0.00,0.00,0.00,0.36,0.32
0.26,0.43,1.83,0.11,0.00,0.59,0.42,0.28,0.10,0.00,0.32,0.00,0.00,0.00,0.34,0.00,0.23,0.00,0.73,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.38,1.03,0.00,0.00,0.08,0.00,0.00,0.00,0.09
0.00,0.34,1.84,0.00,0.00,0.56,0.26,0.39,0.27,0.04,0.00,0.00,0.15,0.00,0.29,0.00,0.14,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.76,0.04,0.20,0.28,0.00,0.00,0.00,0.00
0.00,0.50,1.83,0.00,0.00,0.71,0.00,0.22,0.31,0.36,0.42,0.00,0.39,0.00,0.32,0.00,0.00,0.00,0.14,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00
0.00,0.30,1.70,0.00,0.00,0.71,0.08,0.00,0.41,0.48,0.38,0.00,0.17,0.00,0.09,0.47,0.00,0.00,0.24,0.68,0.00,0.00,0.00,0.29,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.20,0.08,0.00,0.00,0.00
0.00,0.00,1.72,0.00,0.00,0.66,0.20,0.00,0.66,0.36,0.26,0.00,0.00,0.00,0.00,0.28,0.09,0.00,0.15,0.66,0.00,0.00,0.00,0.23,0.00,0.00,0.24,0.00,0.00,0.15,0.00,0.28,0.07,0.00,0.00,0.00
0.16,0.00,1.80,0.08,0.00,0.62,0.00,0.00,0.77,0.38,0.44,0.32,0.08,0.02,0.00,0.00,0.32,0.00,0.23,0.39,0.00,0.40,0.44,0.03,0.00,0.00,0.09,0.00,0.38,0.00,0.00,0.00,0.05,0.00,0.00,0.00
0.27,0.34,1.74,0.23,0.00,0.62,0.00,0.24,0.79,0.39,0.23,0.45,0.06,0.00,0.05,0.15,0.00,0.00,0.63,0.00,0.00,0.83,0.58,0.00,0.00,0.00,0.00,0.15,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.30,1.73,0.00,0.00,0.76,0.00,0.21,0.92,0.19,0.00,0.30,0.05,0.00,0.08,0.33,0.00,0.00,0.72,0.07,0.05,0.79,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
0.14,0.00,1.77,0.00,0.27,0.80,0.00,0.03,0.98,0.50,0.00,0.62,0.02,0.00,0.00,0.20,0.00,0.00,0.28,0.00,0.21,0.86,0.92,0.00,0.00,0.06,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,1.73,0.00,0.11,0.79,0.00,0.91,0.91,0.72,0.00,0.57,0.00,0.01,0.11,0.26,0.00,0.00,0.00,0.02,0.23,1.20,0.96,0.00,0.00,0.33,0.00,0.07,0.53,0.00,0.00,0.00,0.00,0.00,0.08,0.54
0.00,0.00,1.65,0.03,0.10,0.78,0.31,1.28,0.68,0.89,0.00,0.38,0.00,0.00,0.31,0.57,0.00,0.00,0.00,0.55,0.01,1.52,0.93,0.00,0.00,0.06,0.00,0.00,0.54,0.14,0.22,0.29,0.00,0.15,0.02,0.80
0.04,0.00,1.66,0.00,0.18,0.70,0.29,0.98,0.48,0.93,0.00,0.37,0.00,0.00,0.21,0.63,0.00,0.13,0.42,0.47,0.00,1.71,0.00,0.13,0.03,0.00,0.14,0.00,0.49,0.22,0.07,0.00,0.00,0.46,0.09,0.48
0.09,0.00,1.70,0.00,0.41,0.71,0.14,0.79,0.00,0.99,0.03,1.06,0.00,0.00,0.21,0.46,0.00,0.23,0.52,0.00,0.00,1.76,0.00,0.34,0.00,0.00,0.00,0.00,0.53,0.01,0.00,0.00,0.00,0.47,0.11,0.22
0.00,0.00,1.72,0.00,0.32,0.75,0.43,0.09,0.21,1.10,0.00,1.24,0.24,0.00,0.20,0.10,0.00,0.13,0.32,0.04,0.00,1.78,0.34,0.21,0.02,0.07,0.00,0.00,0.04,0.23,0.00,0.00,0.00,0.27,0.00,0.00
0.00,0.35,1.78,0.00,0.00,0.60,0.34,0.00,0.60,1.19,0.00,0.83,0.61,0.00,0.14,0.12,0.07,0.00,0.00,0.04,0.00,1.81,0.52,0.00,0.00,0.00,0.00,0.05,0.00,0.20,0.00,0.38,0.00,0.00,0.00,0.00
0.28,0.42,1.78,0.25,0.00,0.00,0.00,0.27,0.52,1.33,0.00,0.57,0.41,0.00,0.00,0.15,0.35,0.00,0.00,0.00,0.00,1.68,0.30,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.37,0.52,0.00,0.00,0.00,0.01
0.06,0.12,1.75,0.36,0.00,0.45,0.00,0.62,0.22,1.44,0.22,0.30,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.11,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.23,0.10,0.00,0.67,0.28,0.00,0.17,0.01,0.13
0.14,0.00,1.64,0.25,0.10,0.66,0.00,0.53,0.00,1.65,0.37,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.10,0.00,0.00,1.45,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.02,0.00
0.11,0.00,1.52,0.44,0.43,0.61,0.02,0.00,0.24,1.81,0.00,0.00,0.34,0.40,0.00,0.47,0.75,0.00,0.31,0.07,0.00,1.48,0.19,0.40,0.00,0.18,0.00,0.00,0.00,0.00,0.70,0.00,0.08,0.00,0.31,0.00
0.00,0.00,1.50,0.58,0.05,0.21,0.00,0.00,0.25,1.83,0.00,0.00,0.34,0.01,0.00,0.14,0.85,0.01,0.17,0.52,0.00,1.61,0.18,0.66,0.00,0.26,0.47,0.00,0.00,0.00,0.75,0.53,0.20,0.00,0.12,0.00
0.00,0.00,1.49,0.54,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.50,0.50,0.35,0.00,1.59,0.00,0.66,0.00,0.00,0.54,0.00,0.00,0.00,0.68,0.63,0.30,0.11,0.00,0.00
0.00,0.12,1.38,0.05,0.00,0.23,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00,0.18,0.00,0.89,0.73,0.65,0.00,0.00,1.46,0.00,0.55,0.20,0.00,0.48,0.48,0.00,0.00,0.00,0.53,0.32,0.00,0.54,0.07
0.00,0.00,1.32,0.03,0.00,0.16,0.00,0.00,0.49,1.91,0.14,0.00,0.00,0.00,0.12,0.00,0.00,0.58,0.81,0.00,0.00,0.00,0.12,0.54,0.00,0.02,0.25,0.81,0.00,0.00,0.00,0.11,0.27,0.29,0.57,0.44
0.05,0.00,1.35,0.00,0.00,0.07,0.00,0.00,0.54,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.74,0.00,0.00,0.14,0.24,0.39,0.00,0.28,0.00,0.53,0.00,0.17,0.24,0.00,0.13,0.33,0.00,0.53
0.17,0.00,1.25,0.61,0.11,0.36,0.37,0.47,0.62,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.41,0.63,0.30,0.18,0.23,0.12,0.35,0.00,0.00,0.07,0.00,0.00,0.23,0.46,0.00,0.10,0.00,0.00,0.56
0.01,0.00,1.17,1.01,0.00,0.35,0.18,0.91,0.71,1.87,0.00,0.66,0.00,0.00,0.22,0.00,0.40,0.28,0.00,0.13,0.00,0.49,0.14,0.09,0.00,0.00,0.36,0.00,0.00,0.13,0.46,0.28,0.00,0.00,0.04,0.59
0.00,0.17,1.18,1.07,0.00,0.42,0.00,0.85,0.60,1.81,0.00,0.78,0.00,0.00,0.34,0.00,0.66,0.00,0.00,0.00,0.00,0.57,0.43,0.00,0.00,0.20,0.51,0.45,0.00,0.00,0.38,0.41,0.00,0.00,0.05,0.27
0.00,0.57,1.20,0.96,0.00,0.46,0.21,0.70,0.56,1.77,0.06,0.79,0.00,0.34,0.29,0.00,0.47,0.00,0.15,0.00,0.00,0.23,0.76,0.00,0.16,0.00,0.40,0.91,0.61,0.00,0.00,0.74,0.17,0.00,0.00,0.00
0.01,0.65,1.22,0.67,0.03,0.34,0.37,0.62,0.30,0.00,0.00,0.83,0.00,0.06,0.36,0.00,0.05,0.00,0.08,0.20,0.00,0.00,0.78,0.00,0.16,0.00,0.45,0.82,0.54,0.00,0.00,0.99,0.52,0.00,0.00,0.00
0.08,0.65,1.23,0.00,0.35,0.00,0.00,0.81,0.00,0.00,0.00,0.78,0.00,0.00,0.37,0.00,0.00,0.00,0.12,0.06,0.00,0.00,0.49,0.00,0.00,0.52,0.42,0.36,0.04,0.00,0.00,0.82,0.52,0.00,0.05,0.00
0.10,0.13,1.17,0.01,0.00,0.00,0.00,0.72,0.00,0.00,0.11,0.69,0.06,0.00,0.20,0.02,0.00,0.00,0.44,0.00,0.00,0.05,0.00,0.00,0.08,0.67,0.17,0.00,0.11,0.00,0.00,0.72,0.50,0.14,0.12,0.00
0.00,0.13,1.12,0.00,0.00,0.00,0.00,0.00,0.34,0.05,0.24,0.55,0.49,0.00,0.00,0.19,0.00,0.00,0.42,0.22,0.04,0.00,0.00,0.00,0.18,0.65,0.00,0.21,0.22,0.14,0.00,0.14,0.35,0.00,0.00,0.00
0.00,0.28,1.14,0.00,0.00,0.18,0.00,0.04,0.78,0.00,0.00,0.35,0.41,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.16,0.00,0.17,0.00,0.00,0.05,0.00,0.00,0.35,0.33,0.00,0.14,0.26,0.00,0.00,0.24
0.76,0.39,1.12,0.00,0.00,0.48,0.00,0.07,0.94,0.84,0.00,0.00,0.03,0.31,0.21,0.00,0.00,0.00,0.00,0.02,0.02,0.16,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.46,0.00,0.37,0.00,0.00,0.30
1.16,0.00,1.07,0.00,0.31,0.42,0.00,0.00,0.63,1.35,0.25,0.00,0.27,0.38,0.31,0.00,0.00,0.00,0.00,0.26,0.00,0.08,0.00,0.00,0.14,0.00,0.31,0.12,0.00,0.39,0.80,0.00,0.26,0.00,0.05,0.07
1.25,0.00,0.27,0.53,0.32,0.22,0.00,0.30,0.24,1.36,0.48,0.16,0.15,0.00,0.07,0.00,0.00,0.00,0.00,0.27,0.17,0.20,0.00,0.00,0.13,0.00,0.04,0.44,0.21,0.38,1.12,0.00,0.38,0.32,0.30,0.04
1.48,0.04,0.29,0.34,0.00,0.00,0.60,0.63,0.00,1.39,0.97,0.30,0.49,0.00,0.00,0.19,0.00,0.10,0.00,0.45,0.40,0.23,0.00,0.23,0.00,0.06,0.00,0.53,0.35,0.16,1.18,0.00,0.20,0.23,0.04,0.31
1.47,0.00,0.18,0.00,0.00,0.00,0.67,0.68,0.00,1.55,1.17,0.39,0.60,0.00,0.00,0.22,0.00,0.00,0.00,0.69,0.26,0.27,0.00,0.45,0.17,0.24,0.00,0.30,0.06,0.00,1.05,0.00,0.00,0.05,0.09,0.08
1.43,0.00,0.61,0.00,0.00,0.00,0.81,0.52,0.11,1.88,1.00,0.47,0.52,0.00,0.00,0.40,0.00,0.00,0.00,0.61,0.00,0.03,0.41,0.42,0.17,0.19,0.00,0.00,0.00,0.30,0.85,0.00,0.26,0.15,0.00,0.00
1.58,0.00,0.99,0.00,0.00,0.05,1.19,0.06,0.15,2.16,0.78,0.48,0.56,0.20,0.00,0.18,0.24,0.00,0.04,0.00,0.00,0.00,0.03,0.39,0.35,0.40,0.00,0.00,0.00,0.59,0.70,0.33,0.00,0.00,0.08,0.00
1.73,0.00,1.02,0.00,0.00,0.00,1.04,0.00,0.00,2.18,0.20,0.30,0.73,0.03,0.19,0.00,0.00,0.39,0.00,0.00,0.18,0.16,0.00,0.28,0.07,0.00,0.00,0.00,0.00,0.68,0.00,0.10,0.00,0.06,0.61,0.00
1.77,0.00,0.95,0.15,0.00,0.00,0.81,0.06,0.00,1.99,0.00,0.00,0.59,0.00,0.18,0.05,0.03,0.59,0.00,0.00,0.14,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.69,0.00,0.00,0.00,0.18,0.53,0.00
1.72,0.00,0.78,0.48,0.13,0.00,0.21,0.15,0.00,1.78,0.00,0.00,0.40,0.17,0.00,0.00,0.15,0.53,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.63,0.11,0.00,0.13,0.14,0.12,0.00
1.61,0.31,0.56,0.54,0.00,0.00,0.35,0.14,0.00,1.67,0.00,0.17,0.66,0.18,0.00,0.00,0.13,0.46,0.00,0.00,0.00,0.28,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.02,0.06,0.08,0.48,0.32,0.15
1.44,0.16,0.38,0.50,0.00,0.00,0.48,0.13,0.07,1.55,0.00,0.59,0.72,0.00,0.19,0.22,0.08,0.39,0.00,0.04,0.00,0.00,0.09,0.00,0.12,0.07,0.00,0.00,0.00,0.25,0.00,0.05,0.00,0.39,0.19,0.08
1.26,0.00,0.02,0.46,0.00,0.11,0.67,0.20,0.00,1.47,0.00,0.37,0.75,0.00,0.35,0.13,0.00,0.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.14,0.00,0.00,0.24,0.00
0.00,0.00,0.00,0.40,0.07,0.22,0.71,0.03,0.00,1.41,0.36,0.00,0.70,0.00,0.34,0.41,0.00,0.58,0.00,0.00,0.00,0.40,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.05,0.00,0.00,0.14,0.07,0.08
0.00,0.13,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.08,0.35,0.20,0.38,0.00,0.19,0.34,0.07,0.39,0.28,0.00,0.11,0.54,1.05,0.00,0.00,0.76,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.70,0.01,0.40
0.02,0.00,0.06,0.00,0.02,0.00,0.00,0.06,0.00,0.33,0.43,0.53,0.37,0.00,0.00,0.30,0.00,0.00,0.74,0.18,0.72,0.63,1.06,0.00,0.16,1.15,0.10,0.00,0.00,0.00,0.00,0.00,0.28,0.86,0.24,0.34
0.26,0.00,0.16,0.00,0.00,0.00,0.00,0.15,0.00,0.39,0.35,0.37,0.40,0.12,0.24,0.35,0.00,0.00,0.79,0.56,0.75,0.40,0.94,0.15,0.24,1.11,0.10,0.00,0.21,0.34,0.07,0.00,0.00,0.95,0.21,0.01
0.76,0.00,0.00,0.23,0.00,0.00,0.00,0.02,0.00,0.32,0.00,0.00,0.08,0.00,0.61,0.00,0.00,0.00,0.56,0.56,0.40,0.00,0.79,0.48,0.00,0.84,0.00,0.23,0.41,0.52,0.29,0.00,0.10,0.97,0.42,0.00
0.96,0.00,0.00,0.20,0.00,0.00,0.00,0.19,0.00,0.30,0.00,0.00,0.00,0.00,0.72,0.25,0.06,0.00,0.00,0.00,0.28,0.06,0.29,0.60,0.00,0.45,0.00,0.00,0.00,0.43,0.84,0.20,0.24,0.89,0.21,0.00
0.65,0.07,0.23,0.21,0.00,0.37,0.16,0.11,0.00,0.27,0.00,0.05,0.00,0.10,1.00,0.47,0.00,0.00,0.07,0.15,0.14,0.00,0.19,0.60,0.00,0.03,0.00,0.00,0.00,0.13,1.14,0.00,0.00,0.72,0.00,0.00
0.75,0.32,0.78,0.00,0.00,0.29,0.26,0.00,0.40,0.00,0.00,0.49,0.80,0.02,1.09,0.45,0.21,0.00,0.00,0.47,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.83,0.00,0.77,0.00,0.00,0.51,0.00,0.00
0.90,0.19,0.86,0.00,0.18,0.12,0.06,0.00,0.61,0.00,0.25,0.27,1.05,0.00,0.80,0.00,0.27,0.00,0.00,0.40,0.00,0.00,0.18,0.16,0.00,0.00,0.00,0.00,1.03,0.00,0.51,0.00,0.00,0.00,0.00,0.00
0.78,0.00,0.87,0.00,0.00,0.00,0.00,0.17,0.69,0.00,0.32,0.00,1.04,0.00,0.55,0.00,0.14,0.00,0.00,0.00,0.24,0.00,0.63,0.15,0.00,0.03,0.12,0.00,0.81,0.00,0.39,0.00,0.00,0.00,0.00,0.00
0.00,0.00,1.07,0.00,0.00,0.00,0.09,0.47,0.73,0.18,0.00,0.00,0.73,0.22,0.22,0.00,0.41,0.00,0.38,0.13,0.00,0.19,0.40,0.19,0.00,0.03,0.54,0.00,0.00,0.00,0.63,0.08,0.00,0.07,0.00,0.00
0.04,0.73,1.10,0.00,0.00,0.00,0.05,0.52,0.53,0.00,0.00,0.13,0.00,0.00,0.00,0.18,0.34,0.00,0.39,0.00,0.00,0.22,0.00,0.30,0.00,0.33,0.40,0.00,0.00,0.00,0.77,0.35,0.00,0.23,0.00,0.00
0.09,0.64,1.08,0.00,0.00,0.00,0.00,0.33,0.52,0.00,0.14,0.00,0.37,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.28,0.00,0.20,0.27,0.31,0.36,0.16,0.00,0.00,0.00,0.81,0.00,0.45,0.35,0.24,0.00
